P1 P2 P3 P4 P5 $x1$ $x2$ 
19 50 25 0 0 1924.0 7.062999999994645 
19 50 25 0 1 1924.0 7.25 
19 50 25 0 2 1924.0 7.405999999988126 
19 50 25 0 3 1924.0 7.342999999993481 
19 50 25 0 4 1924.0 7.938000000009197 
19 50 25 0 5 1924.0 8.561999999990803 
19 50 25 0 6 1924.0 8.702999999994063 
19 50 25 0 7 1924.0 9.26600000000326 
19 50 25 0 8 1924.0 9.85899999999674 
19 50 25 0 9 1924.0 9.906000000002678 
19 50 25 0 10 1924.0 10.139999999999418 
19 50 25 0 11 1924.0 10.65700000000652 
19 50 25 0 12 1924.0 11.078000000008615 
19 50 25 0 13 1924.0 11.375 
19 50 25 0 14 1924.0 11.735000000000582 
19 50 25 0 15 1924.0 13.35899999999674 
19 50 25 0 16 1874.0 14.593999999997322 
19 50 25 0 17 1874.0 14.421000000002095 
19 50 25 0 18 1874.0 14.702999999994063 
19 50 25 0 19 1874.0 15.343999999997322 
19 50 25 0 20 1874.0 16.093999999997322 
19 50 25 0 21 1874.0 17.187000000005355 
19 50 25 0 22 1874.0 17.735000000000582 
19 50 25 0 23 1874.0 17.968999999997322 
19 50 25 0 24 1874.0 18.593999999997322 
19 50 25 0 25 1874.0 19.375 
19 50 25 0 26 1874.0 19.843999999997322 
