P1 P2 P3 P4 P5 $x1$ $x2$ 
19 50 25 0 0 1861.0 6.9689999999973224 
19 50 25 0 1 1861.0 7.4060000000026776 
19 50 25 0 2 1861.0 8.187999999994645 
19 50 25 0 3 1861.0 8.514999999999418 
19 50 25 0 4 1861.0 9.0 
19 50 25 0 5 1861.0 9.577999999994063 
19 50 25 0 6 1861.0 10.25 
19 50 25 0 7 1861.0 10.312000000005355 
19 50 25 0 8 1861.0 11.187000000005355 
19 50 25 0 9 1861.0 11.843999999997322 
19 50 25 0 10 1861.0 12.437000000005355 
19 50 25 0 11 1861.0 12.968999999997322 
19 50 25 0 12 1861.0 13.327999999994063 
19 50 25 0 13 1861.0 13.60899999999674 
19 50 25 0 14 1861.0 14.688000000009197 
19 50 25 0 15 1861.0 15.39100000000326 
19 50 25 0 16 1861.0 16.531000000002678 
19 50 25 0 17 1861.0 17.969000000011874 
19 50 25 0 18 1861.0 17.937999999994645 
19 50 25 0 19 1861.0 18.437999999994645 
19 50 25 0 20 1861.0 18.968999999997322 
19 50 25 0 21 1861.0 19.656000000002678 
19 50 25 0 22 1861.0 20.281000000002678 
19 50 25 0 23 1861.0 21.406999999991967 
19 50 25 0 24 1861.0 22.031000000002678 
