P1 P2 P3 P4 P5 $x1$ $x2$ 
19 50 25 0 0 1952.0 7.23399999999674 
19 50 25 1 1 1952.0 7.546999999991385 
19 50 25 2 2 1952.0 8.0 
19 50 25 3 3 1952.0 8.672000000005937 
19 50 25 4 4 1863.0 10.110000000000582 
19 50 25 5 5 1863.0 10.563000000009197 
19 50 25 6 6 1863.0 11.202999999994063 
19 50 25 7 7 1863.0 11.562999999994645 
19 50 25 8 8 1863.0 12.48399999999674 
19 50 25 9 9 1863.0 13.218999999997322 
19 50 25 10 10 1863.0 13.968999999997322 
19 50 25 11 11 1863.0 14.405999999988126 
19 50 25 12 12 1863.0 15.797000000005937 
19 50 25 13 13 1863.0 17.48399999999674 
19 50 25 14 14 1863.0 17.5 
19 50 25 15 15 1863.0 18.813000000009197 
19 50 25 16 16 1863.0 20.406999999991967 
19 50 25 17 17 1863.0 20.702999999994063 
19 50 25 18 18 1863.0 21.578000000008615 
19 50 25 19 19 1863.0 22.843999999997322 
19 50 25 20 20 1863.0 23.952999999994063 
19 50 25 21 21 1847.0 24.514999999999418 
19 50 25 22 22 1847.0 26.64100000000326 
