P1 P2 P3 P4 P5 $x1$ $x2$ 
19 50 25 0 0 2130.0 7.1710000000020955 
19 50 25 1 1 2130.0 7.389999999999418 
19 50 25 2 2 2130.0 8.25 
19 50 25 3 3 2130.0 8.64100000000326 
19 50 25 4 4 2130.0 9.531000000002678 
19 50 25 5 5 2130.0 9.73399999999674 
19 50 25 6 6 2130.0 10.344000000011874 
19 50 25 7 7 2130.0 10.953999999997905 
19 50 25 8 8 2130.0 11.593999999997322 
19 50 25 9 9 2130.0 12.25 
19 50 25 10 10 2130.0 13.296999999991385 
19 50 25 11 11 2130.0 13.452999999994063 
19 50 25 12 12 2130.0 14.735000000000582 
19 50 25 13 13 2130.0 15.09299999999348 
19 50 25 14 14 2130.0 16.094000000011874 
19 50 25 15 15 2130.0 17.422000000005937 
19 50 25 16 16 2130.0 17.625 
19 50 25 17 17 2096.0 18.452999999994063 
19 50 25 18 18 2096.0 19.734000000011292 
19 50 25 19 19 2096.0 20.172000000005937 
19 50 25 20 20 2096.0 22.09299999999348 
19 50 25 21 21 2096.0 22.78200000000652 
19 50 25 22 22 2096.0 23.171999999991385 
19 50 25 23 23 2096.0 24.328999999997905 
