P1 P2 P3 P4 P5 $x1$ $x2$ 
19 0 0 0 10 1859.0 4.687999999994645 
19 1 1 0 10 1859.0 4.6560000000026776 
19 2 2 0 10 1859.0 4.797000000005937 
19 3 3 0 10 1859.0 5.078000000008615 
19 4 4 0 10 1859.0 5.046999999991385 
19 5 5 0 10 1859.0 5.140999999988708 
19 6 6 0 10 1859.0 5.10899999999674 
19 7 7 0 10 1859.0 5.312000000005355 
19 8 8 0 10 1859.0 5.453000000008615 
19 9 9 0 10 1859.0 5.5939999999973224 
19 10 10 0 10 1859.0 5.577999999994063 
19 11 11 0 10 1859.0 5.688000000009197 
19 12 12 0 10 1859.0 6.0460000000020955 
19 13 13 0 10 1859.0 6.327999999994063 
19 14 14 0 10 1859.0 6.26600000000326 
19 15 15 0 10 1859.0 6.219000000011874 
19 16 16 0 10 1859.0 6.23399999999674 
19 17 17 0 10 1859.0 6.342999999993481 
19 18 18 0 10 1859.0 6.359000000011292 
19 19 19 0 10 1859.0 6.562999999994645 
19 20 20 0 10 1859.0 6.547000000005937 
19 21 21 0 10 1859.0 6.827999999994063 
19 22 22 0 10 1859.0 6.98399999999674 
19 23 23 0 10 1859.0 6.937000000005355 
19 24 24 0 10 1859.0 7.23399999999674 
19 25 25 0 10 1859.0 7.35899999999674 
19 26 26 0 10 1859.0 9.75 
19 27 27 0 10 1859.0 9.921000000002095 
19 28 28 0 10 1859.0 9.906000000002678 
19 29 29 0 10 1859.0 10.452999999994063 
19 30 30 0 10 1859.0 10.703999999997905 
19 31 31 0 10 1859.0 10.98399999999674 
19 32 32 0 10 1859.0 11.014999999999418 
19 33 33 0 10 1859.0 11.26600000000326 
19 34 34 0 10 1859.0 11.453000000008615 
19 35 35 0 10 1859.0 11.75 
19 36 36 0 10 1859.0 11.0 
19 37 37 0 10 1859.0 11.96799999999348 
19 38 38 0 10 1859.0 11.686999999990803 
19 39 39 0 10 1859.0 11.937000000005355 
19 40 40 0 10 1859.0 11.953999999997905 
19 41 41 0 10 1859.0 11.968999999997322 
