P1 P2 P3 P4 P5 $x1$ $x2$ 
19 0 0 0 10 2236.0 5.5 
19 1 1 0 10 2236.0 5.578000000008615 
19 2 2 0 10 2236.0 5.577999999994063 
19 3 3 0 10 2236.0 5.6560000000026776 
19 4 4 0 10 2236.0 5.625 
19 5 5 0 10 2236.0 5.73399999999674 
19 6 6 0 10 2236.0 6.5 
19 7 7 0 10 2236.0 6.4060000000026776 
19 8 8 0 10 2236.0 5.952999999994063 
19 9 9 0 10 2236.0 5.8439999999973224 
19 10 10 0 10 2236.0 8.10899999999674 
19 11 11 0 10 2236.0 8.202999999994063 
19 12 12 0 10 2236.0 8.389999999999418 
19 13 13 0 10 2236.0 8.328000000008615 
19 14 14 0 10 2236.0 8.51600000000326 
19 15 15 0 10 2236.0 8.672000000005937 
19 16 16 0 10 2236.0 8.811999999990803 
19 17 17 0 10 2236.0 8.875 
19 18 18 0 10 2236.0 9.313000000009197 
19 19 19 0 10 2236.0 9.437999999994645 
19 20 20 0 10 2236.0 9.562999999994645 
19 21 21 0 10 2236.0 10.01600000000326 
19 22 22 0 10 2236.0 10.203000000008615 
19 23 23 0 10 2236.0 10.046999999991385 
19 24 24 0 10 2236.0 10.203000000008615 
19 25 25 0 10 2236.0 10.5 
19 26 26 0 10 2236.0 10.578000000008615 
19 27 27 0 10 2236.0 11.110000000000582 
19 28 28 0 10 2236.0 11.375 
19 29 29 0 10 2236.0 11.327999999994063 
19 30 30 0 10 2236.0 11.35899999999674 
19 31 31 0 10 2236.0 11.422000000005937 
19 32 32 0 10 2236.0 11.953000000008615 
19 33 33 0 10 2236.0 11.796999999991385 
19 34 34 0 10 2236.0 12.03200000000652 
19 35 35 0 10 2236.0 12.905999999988126 
19 36 36 0 10 2236.0 12.937000000005355 
