P1 P2 P3 P4 P5 $x1$ $x2$ 
20 50 25 0 0 6104.0 1.485000000000582 
20 50 25 1 0 6104.0 1.5460000000020955 
20 50 25 2 0 6104.0 1.562000000005355 
20 50 25 3 0 6104.0 1.4220000000059372 
20 50 25 4 0 6104.0 1.5779999999940628 
20 50 25 5 0 6104.0 1.937999999994645 
20 50 25 6 0 6104.0 2.047000000005937 
20 50 25 7 0 6104.0 2.75 
20 50 25 8 0 6104.0 1.8910000000032596 
20 50 25 9 0 6104.0 1.9689999999973224 
20 50 25 10 0 6104.0 2.110000000000582 
20 50 25 11 0 6104.0 2.125 
20 50 25 12 0 6104.0 2.077999999994063 
20 50 25 13 0 6104.0 2.297000000005937 
20 50 25 14 0 6104.0 2.360000000000582 
20 50 25 15 0 6104.0 2.6719999999913853 
20 50 25 16 0 6104.0 2.75 
20 50 25 17 0 6104.0 3.3589999999967404 
20 50 25 18 0 6104.0 2.7810000000026776 
20 50 25 19 0 6104.0 3.547000000005937 
20 50 25 20 0 6104.0 3.625 
20 50 25 21 0 6104.0 3.5940000000118744 
20 50 25 22 0 6104.0 3.735000000000582 
20 50 25 23 0 6104.0 3.75 
20 50 25 24 0 6104.0 4.4689999999973224 
20 50 25 25 0 6104.0 5.280999999988126 
20 50 25 26 0 6104.0 6.686999999990803 
20 50 25 27 0 6104.0 7.328000000008615 
20 50 25 28 0 6104.0 9.281000000002678 
20 50 25 29 0 6104.0 9.25 
20 50 25 30 0 6104.0 8.952999999994063 
20 50 25 31 0 6104.0 10.85899999999674 
20 50 25 32 0 6104.0 9.422000000005937 
20 50 25 33 0 6104.0 9.422000000005937 
20 50 25 34 0 6104.0 10.10899999999674 
20 50 25 35 0 6104.0 9.639999999999418 
20 50 25 36 0 6104.0 10.203000000008615 
20 50 25 37 0 6104.0 12.655999999988126 
20 50 25 38 0 6104.0 11.843999999997322 
20 50 25 39 0 6104.0 11.812000000005355 
20 50 25 40 0 6104.0 12.062000000005355 
20 50 25 41 0 6104.0 11.89100000000326 
20 50 25 42 0 6104.0 12.171000000002095 
20 50 25 43 0 6104.0 12.75 
20 50 25 44 0 6104.0 12.046999999991385 
20 50 25 45 0 6104.0 12.062999999994645 
20 50 25 46 0 6104.0 13.671999999991385 
20 50 25 47 0 6104.0 13.296999999991385 
20 50 25 48 0 6104.0 14.139999999999418 
