P1 P2 P3 P4 P5 $x1$ $x2$ 
20 50 25 0 0 6292.0 1.2339999999967404 
20 50 25 0 1 6292.0 1.1880000000091968 
20 50 25 0 2 6292.0 1.235000000000582 
20 50 25 0 3 6292.0 1.25 
20 50 25 0 4 6292.0 1.4530000000086147 
20 50 25 0 5 6292.0 1.5 
20 50 25 0 6 6292.0 1.2660000000032596 
20 50 25 0 7 6292.0 1.437000000005355 
20 50 25 0 8 6292.0 1.7029999999940628 
20 50 25 0 9 6292.0 1.7809999999881256 
20 50 25 0 10 6292.0 1.8589999999967404 
20 50 25 0 11 6292.0 1.9220000000059372 
20 50 25 0 12 6292.0 1.8910000000032596 
20 50 25 0 13 6292.0 2.047000000005937 
20 50 25 0 14 6292.0 2.25 
20 50 25 0 15 6292.0 2.2810000000026776 
20 50 25 0 16 6292.0 2.937000000005355 
20 50 25 0 17 6292.0 2.5160000000032596 
20 50 25 0 18 6292.0 2.577999999994063 
20 50 25 0 19 6292.0 2.5780000000086147 
20 50 25 0 20 6292.0 3.9689999999973224 
20 50 25 0 21 6292.0 4.577999999994063 
20 50 25 0 22 6292.0 4.2189999999973224 
20 50 25 0 23 6292.0 4.297000000005937 
20 50 25 0 24 6292.0 4.281999999991967 
20 50 25 0 25 6292.0 3.3439999999973224 
20 50 25 0 26 6292.0 3.3590000000112923 
20 50 25 0 27 6292.0 4.092999999993481 
20 50 25 0 28 6292.0 3.561999999990803 
20 50 25 0 29 6292.0 3.625 
20 50 25 0 30 6292.0 4.610000000000582 
20 50 25 0 31 6292.0 4.485000000000582 
20 50 25 0 32 6292.0 4.485000000000582 
20 50 25 0 33 6292.0 4.469000000011874 
20 50 25 0 34 6292.0 5.23399999999674 
20 50 25 0 35 6292.0 6.188000000009197 
20 50 25 0 36 6292.0 6.047000000005937 
20 50 25 0 37 6292.0 6.25 
20 50 25 0 38 6292.0 7.0 
20 50 25 0 39 6292.0 6.953000000008615 
20 50 25 0 40 6292.0 7.1560000000026776 
20 50 25 0 41 6292.0 7.219000000011874 
20 50 25 0 42 6292.0 8.968000000008033 
20 50 25 0 43 6292.0 8.922000000005937 
20 50 25 0 44 6292.0 9.047000000005937 
20 50 25 0 45 6292.0 8.625 
20 50 25 0 46 6292.0 9.360000000000582 
20 50 25 0 47 6292.0 10.437999999994645 
20 50 25 0 48 6292.0 12.015999999988708 
20 50 25 0 49 6292.0 11.875 
20 50 25 0 50 6292.0 11.921999999991385 
20 50 25 0 51 6292.0 12.39100000000326 
20 50 25 0 52 6292.0 14.281000000002678 
20 50 25 0 53 6292.0 14.703000000008615 
20 50 25 0 54 6292.0 14.312999999994645 
20 50 25 0 55 6292.0 19.985000000000582 
