P1 P2 P3 P4 P5 $x1$ $x2$ 
20 50 25 0 0 5974.0 1.8589999999967404 
20 50 25 0 1 5974.0 1.264999999999418 
20 50 25 0 2 5974.0 1.485000000000582 
20 50 25 0 3 5974.0 1.7030000000086147 
20 50 25 0 4 5974.0 1.8279999999940628 
20 50 25 0 5 5974.0 1.2660000000032596 
20 50 25 0 6 5974.0 1.2660000000032596 
20 50 25 0 7 5974.0 1.312000000005355 
20 50 25 0 8 5974.0 1.3589999999967404 
20 50 25 0 9 5974.0 1.4530000000086147 
20 50 25 0 10 5974.0 1.4839999999967404 
20 50 25 0 11 5974.0 1.6089999999967404 
20 50 25 0 12 5974.0 1.5789999999979045 
20 50 25 0 13 5974.0 1.6089999999967404 
20 50 25 0 14 5974.0 1.3280000000086147 
20 50 25 0 15 5974.0 1.625 
20 50 25 0 16 5974.0 1.6719999999913853 
20 50 25 0 17 5974.0 1.5939999999973224 
20 50 25 0 18 5974.0 1.5930000000080327 
20 50 25 0 19 5974.0 1.8440000000118744 
20 50 25 0 20 5974.0 1.8439999999973224 
20 50 25 0 21 5974.0 1.8589999999967404 
20 50 25 0 22 5974.0 2.1559999999881256 
20 50 25 0 23 5974.0 2.2819999999919673 
20 50 25 0 24 5974.0 1.9060000000026776 
20 50 25 0 25 5974.0 1.9060000000026776 
20 50 25 0 26 5974.0 1.8590000000112923 
20 50 25 0 27 5974.0 1.875 
20 50 25 0 28 5974.0 2.0939999999973224 
20 50 25 0 29 5974.0 2.1570000000065193 
20 50 25 0 30 5974.0 2.327999999994063 
20 50 25 0 31 5974.0 3.0 
20 50 25 0 32 5974.0 2.6089999999967404 
20 50 25 0 33 5974.0 2.75 
20 50 25 0 34 5974.0 2.7030000000086147 
20 50 25 0 35 5974.0 2.6710000000020955 
20 50 25 0 36 5974.0 2.7660000000032596 
20 50 25 0 37 5974.0 2.9219999999913853 
20 50 25 0 38 5974.0 2.985000000000582 
20 50 25 0 39 5974.0 3.0159999999887077 
20 50 25 0 40 5974.0 2.9839999999967404 
20 50 25 0 41 5974.0 3.0 
20 50 25 0 42 5974.0 2.985000000000582 
20 50 25 0 43 5974.0 2.985000000000582 
20 50 25 0 44 5974.0 3.014999999999418 
20 50 25 0 45 5974.0 3.0310000000026776 
20 50 25 0 46 5974.0 3.4689999999973224 
20 50 25 0 47 5974.0 3.1719999999913853 
20 50 25 0 48 5974.0 3.2039999999979045 
20 50 25 0 49 5974.0 3.2339999999967404 
20 50 25 0 50 5974.0 3.2660000000032596 
20 50 25 0 51 5974.0 3.25 
20 50 25 0 52 5974.0 3.25 
20 50 25 0 53 5974.0 3.25 
20 50 25 0 54 5974.0 5.625 
20 50 25 0 55 5974.0 5.5310000000026776 
20 50 25 0 56 5974.0 5.563000000009197 
20 50 25 0 57 5974.0 5.610000000000582 
20 50 25 0 58 5974.0 5.4060000000026776 
20 50 25 0 59 5974.0 5.9060000000026776 
20 50 25 0 60 5974.0 7.187000000005355 
20 50 25 0 61 5974.0 7.75 
20 50 25 0 62 5974.0 7.7960000000020955 
20 50 25 0 63 5974.0 7.875 
20 50 25 0 64 5974.0 7.875 
20 50 25 0 65 5974.0 9.5 
20 50 25 0 66 5974.0 11.093999999997322 
20 50 25 0 67 5974.0 13.639999999999418 
20 50 25 0 68 5974.0 13.389999999999418 
20 50 25 0 69 5974.0 16.34299999999348 
20 50 25 0 70 5974.0 16.389999999999418 
20 50 25 0 71 5974.0 16.23399999999674 
20 50 25 0 72 5974.0 16.281000000002678 
