P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1522.0 0.0 
6 50 25 0 10 1682.0 0.030999999988125637 
7 50 25 0 10 2025.0 0.03199999999196734 
8 50 25 0 10 2618.0 0.04700000000593718 
9 50 25 0 10 2706.0 0.11000000000058208 
10 50 25 0 10 3045.0 0.125 
11 50 25 0 10 3264.0 0.20299999999406282 
12 50 25 0 10 3484.0 0.3129999999946449 
13 50 25 0 10 4117.0 0.28199999999196734 
14 50 25 0 10 4088.0 0.7340000000112923 
15 50 25 0 10 4280.0 0.7179999999934807 
16 50 25 0 10 4545.0 0.6410000000032596 
17 50 25 0 10 5132.0 0.875 
18 50 25 0 10 5443.0 1.375 
19 50 25 0 10 5882.0 1.4060000000026776 
20 50 25 0 10 5700.0 1.2820000000065193 
21 50 25 0 10 6517.0 2.0939999999973224 
22 50 25 0 10 6360.0 1.9530000000086147 
