P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1572.0 0.014999999999417923 
6 50 25 0 10 1880.0 0.03199999999196734 
7 50 25 0 10 2207.0 0.031000000002677552 
8 50 25 0 10 2426.0 0.04700000000593718 
9 50 25 0 10 2894.0 0.09300000000803266 
10 50 25 0 10 2805.0 0.10899999999674037 
11 50 25 0 10 3290.0 0.15599999998812564 
12 50 25 0 10 3767.0 0.21799999999348074 
13 50 25 0 10 3659.0 0.35899999999674037 
14 50 25 0 10 4327.0 0.375 
15 50 25 0 10 4360.0 0.5779999999940628 
16 50 25 0 10 4635.0 0.7960000000020955 
17 50 25 0 10 5262.0 0.9210000000020955 
18 50 25 0 10 5130.0 1.2179999999934807 
19 50 25 0 10 5681.0 1.2030000000086147 
20 50 25 0 10 6219.0 1.8440000000118744 
21 50 25 0 10 6445.0 2.312999999994645 
22 50 25 0 10 6106.0 1.8439999999973224 
