P1 P2 P3 P4 P5 $x1$ $x2$ 
10 50 25 0 0 2925.0 0.5159999999996217 
10 50 25 1 0 2925.0 0.5620000000017171 
10 50 25 2 0 2925.0 0.7809999999990396 
10 50 25 3 0 2925.0 0.9059999999990396 
10 50 25 4 0 2925.0 0.7350000000005821 
10 50 25 5 0 2925.0 0.6720000000022992 
10 50 25 6 0 2925.0 0.8130000000019209 
10 50 25 7 0 2925.0 0.8590000000003783 
10 50 25 8 0 2925.0 0.8440000000009604 
10 50 25 9 0 2925.0 0.7970000000022992 
10 50 25 10 0 2653.0 0.5939999999973224 
10 50 25 11 0 2356.0 0.75 
10 50 25 12 0 2356.0 0.7820000000028813 
10 50 25 13 0 2356.0 0.7350000000005821 
10 50 25 14 0 2356.0 0.9680000000007567 
10 50 25 15 0 2356.0 0.5779999999977008 
10 50 25 16 0 2356.0 0.5940000000009604 
10 50 25 17 0 2356.0 0.5939999999973224 
10 50 25 18 0 2356.0 0.5940000000009604 
10 50 25 19 0 2356.0 0.6100000000005821 
10 50 25 20 0 2356.0 0.6399999999994179 
10 50 25 21 0 2356.0 0.6409999999996217 
10 50 25 22 0 2356.0 0.6560000000026776 
10 50 25 23 0 2356.0 0.6560000000026776 
10 50 25 24 0 2356.0 0.6559999999990396 
10 50 25 25 0 2356.0 0.6559999999990396 
10 50 25 26 0 2356.0 0.6399999999994179 
10 50 25 27 0 2356.0 0.6559999999990396 
10 50 25 28 0 2356.0 0.6559999999990396 
10 50 25 29 0 2356.0 0.6559999999990396 
10 50 25 30 0 2356.0 0.6409999999996217 
10 50 25 31 0 2356.0 0.6709999999984575 
10 50 25 32 0 2356.0 0.6559999999990396 
10 50 25 33 0 2356.0 0.6869999999980791 
10 50 25 34 0 2356.0 0.6719999999986612 
10 50 25 35 0 2356.0 0.7190000000009604 
10 50 25 36 0 2356.0 0.7340000000003783 
10 50 25 37 0 2356.0 0.7190000000009604 
10 50 25 38 0 2356.0 0.7179999999971187 
10 50 25 39 0 2356.0 0.75 
10 50 25 40 0 2356.0 0.7339999999967404 
10 50 25 41 0 2356.0 0.7340000000003783 
10 50 25 42 0 2356.0 0.75 
10 50 25 43 0 2356.0 0.7340000000003783 
10 50 25 44 0 2356.0 0.7350000000005821 
10 50 25 45 0 2356.0 0.7030000000013388 
10 50 25 46 0 2356.0 0.7040000000015425 
10 50 25 47 0 2356.0 0.7030000000013388 
10 50 25 48 0 2356.0 0.7340000000003783 
10 50 25 49 0 2356.0 0.75 
10 50 25 50 0 2356.0 0.7809999999990396 
10 50 25 51 0 2356.0 0.7649999999994179 
10 50 25 52 0 2356.0 0.7809999999990396 
10 50 25 53 0 2356.0 0.75 
10 50 25 54 0 2356.0 0.7820000000028813 
10 50 25 55 0 2356.0 0.7810000000026776 
10 50 25 56 0 2356.0 0.8130000000019209 
10 50 25 57 0 2356.0 0.8120000000017171 
10 50 25 58 0 2356.0 0.875 
10 50 25 59 0 2356.0 0.8440000000009604 
10 50 25 60 0 2356.0 0.7970000000022992 
10 50 25 61 0 2356.0 0.8290000000015425 
10 50 25 62 0 2356.0 0.8430000000007567 
10 50 25 63 0 2356.0 0.9059999999990396 
10 50 25 64 0 2356.0 0.8899999999994179 
10 50 25 65 0 2356.0 0.8590000000003783 
10 50 25 66 0 2356.0 0.9070000000028813 
10 50 25 67 0 2356.0 0.875 
10 50 25 68 0 2356.0 0.8899999999994179 
10 50 25 69 0 2356.0 0.875 
10 50 25 70 0 2356.0 0.8440000000009604 
10 50 25 71 0 2356.0 0.8130000000019209 
10 50 25 72 0 2356.0 0.8280000000013388 
10 50 25 73 0 2356.0 0.8130000000019209 
10 50 25 74 0 2356.0 0.8279999999977008 
10 50 25 75 0 2356.0 0.8600000000005821 
10 50 25 76 0 2356.0 0.7649999999994179 
10 50 25 77 0 2356.0 0.7970000000022992 
10 50 25 78 0 2356.0 0.75 
10 50 25 79 0 2356.0 0.7190000000009604 
10 50 25 80 0 2356.0 0.8119999999980791 
10 50 25 81 0 2356.0 0.7659999999996217 
10 50 25 82 0 2356.0 0.8279999999977008 
10 50 25 83 0 2356.0 0.7659999999996217 
10 50 25 84 0 2356.0 0.7340000000003783 
10 50 25 85 0 2356.0 0.7970000000022992 
10 50 25 86 0 2356.0 0.7970000000022992 
10 50 25 87 0 2356.0 0.8120000000017171 
10 50 25 88 0 2356.0 0.7660000000032596 
10 50 25 89 0 2356.0 0.7339999999967404 
10 50 25 90 0 2356.0 0.7350000000005821 
10 50 25 91 0 2356.0 0.7969999999986612 
10 50 25 92 0 2356.0 0.75 
10 50 25 93 0 2356.0 0.7809999999990396 
10 50 25 94 0 2356.0 0.7649999999994179 
10 50 25 95 0 2356.0 0.7659999999996217 
10 50 25 96 0 2356.0 0.7809999999990396 
10 50 25 97 0 2356.0 0.7809999999990396 
10 50 25 98 0 2356.0 0.7819999999992433 
10 50 25 99 0 2356.0 0.7649999999994179 
10 50 25 100 0 2356.0 0.7970000000022992 
10 50 25 101 0 2356.0 0.7809999999990396 
10 50 25 102 0 2356.0 0.8290000000015425 
10 50 25 103 0 2356.0 0.7809999999990396 
10 50 25 104 0 2356.0 0.8130000000019209 
10 50 25 105 0 2356.0 0.7340000000003783 
10 50 25 106 0 2356.0 0.8279999999977008 
10 50 25 107 0 2356.0 0.7959999999984575 
10 50 25 108 0 2356.0 0.7350000000005821 
10 50 25 109 0 2356.0 0.7649999999994179 
10 50 25 110 0 2356.0 0.75 
10 50 25 111 0 2356.0 0.7970000000022992 
10 50 25 112 0 2356.0 0.7350000000005821 
10 50 25 113 0 2356.0 0.75 
10 50 25 114 0 2356.0 0.75 
10 50 25 115 0 2356.0 1.2190000000009604 
10 50 25 116 0 2356.0 0.75 
10 50 25 117 0 2356.0 0.7809999999990396 
10 50 25 118 0 2356.0 0.7819999999992433 
10 50 25 119 0 2356.0 0.7969999999986612 
10 50 25 120 0 2356.0 0.8279999999977008 
10 50 25 121 0 2356.0 0.75 
10 50 25 122 0 2356.0 0.8130000000019209 
10 50 25 123 0 2356.0 0.7809999999990396 
10 50 25 124 0 2356.0 0.7820000000028813 
10 50 25 125 0 2356.0 0.7809999999990396 
10 50 25 126 0 2356.0 0.7190000000009604 
10 50 25 127 0 2356.0 0.8279999999977008 
10 50 25 128 0 2356.0 0.7959999999984575 
10 50 25 129 0 2356.0 0.75 
10 50 25 130 0 2356.0 0.75 
10 50 25 131 0 2356.0 0.7350000000005821 
10 50 25 132 0 2356.0 0.7660000000032596 
10 50 25 133 0 2356.0 0.7970000000022992 
10 50 25 134 0 2356.0 0.875 
10 50 25 135 0 2356.0 0.8280000000013388 
10 50 25 136 0 2356.0 0.7350000000005821 
10 50 25 137 0 2356.0 0.7350000000005821 
10 50 25 138 0 2356.0 0.7810000000026776 
10 50 25 139 0 2356.0 0.875 
10 50 25 140 0 2356.0 0.7959999999984575 
10 50 25 141 0 2356.0 0.8280000000013388 
10 50 25 142 0 2356.0 0.8439999999973224 
10 50 25 143 0 2356.0 0.8280000000013388 
10 50 25 144 0 2356.0 0.7659999999996217 
10 50 25 145 0 2356.0 0.7659999999996217 
10 50 25 146 0 2356.0 0.7810000000026776 
10 50 25 147 0 2356.0 0.8130000000019209 
10 50 25 148 0 2356.0 0.8120000000017171 
10 50 25 149 0 2356.0 0.7350000000005821 
10 50 25 150 0 2356.0 0.8130000000019209 
10 50 25 151 0 2356.0 0.7809999999990396 
10 50 25 152 0 2356.0 0.7969999999986612 
10 50 25 153 0 2356.0 0.8589999999967404 
10 50 25 154 0 2356.0 0.8280000000013388 
10 50 25 155 0 2356.0 0.75 
10 50 25 156 0 2356.0 0.7810000000026776 
10 50 25 157 0 2356.0 0.7659999999996217 
10 50 25 158 0 2356.0 0.75 
10 50 25 159 0 2356.0 0.75 
10 50 25 160 0 2356.0 0.7649999999994179 
10 50 25 161 0 2356.0 0.8440000000009604 
10 50 25 162 0 2356.0 0.7819999999992433 
10 50 25 163 0 2356.0 0.7970000000022992 
10 50 25 164 0 2356.0 0.75 
10 50 25 165 0 2356.0 0.75 
10 50 25 166 0 2356.0 0.8279999999977008 
10 50 25 167 0 2356.0 0.7969999999986612 
10 50 25 168 0 2356.0 0.8119999999980791 
10 50 25 169 0 2356.0 0.8909999999996217 
10 50 25 170 0 2356.0 0.75 
10 50 25 171 0 2356.0 0.8279999999977008 
10 50 25 172 0 2356.0 0.7819999999992433 
10 50 25 173 0 2356.0 0.8590000000003783 
10 50 25 174 0 2356.0 0.7969999999986612 
10 50 25 175 0 2356.0 0.8279999999977008 
10 50 25 176 0 2356.0 0.7809999999990396 
10 50 25 177 0 2356.0 1.2340000000003783 
10 50 25 178 0 2356.0 0.8129999999982829 
10 50 25 179 0 2356.0 0.8129999999982829 
10 50 25 180 0 2356.0 0.7340000000003783 
10 50 25 181 0 2356.0 0.8129999999982829 
10 50 25 182 0 2356.0 0.7649999999994179 
10 50 25 183 0 2356.0 0.8279999999977008 
10 50 25 184 0 2356.0 0.7809999999990396 
10 50 25 185 0 2356.0 0.7649999999994179 
10 50 25 186 0 2356.0 0.7969999999986612 
10 50 25 187 0 2356.0 0.75 
10 50 25 188 0 2356.0 0.875 
10 50 25 189 0 2356.0 0.8440000000009604 
10 50 25 190 0 2356.0 0.8280000000013388 
10 50 25 191 0 2356.0 0.8279999999977008 
10 50 25 192 0 2356.0 0.8119999999980791 
10 50 25 193 0 2356.0 0.7659999999996217 
10 50 25 194 0 2356.0 0.75 
10 50 25 195 0 2356.0 0.8430000000007567 
10 50 25 196 0 2356.0 0.8279999999977008 
10 50 25 197 0 2356.0 0.7809999999990396 
10 50 25 198 0 2356.0 0.7819999999992433 
10 50 25 199 0 2356.0 0.7809999999990396 
10 50 25 200 0 2356.0 0.8129999999982829 
10 50 25 201 0 2356.0 0.8119999999980791 
10 50 25 202 0 2356.0 0.7809999999990396 
10 50 25 203 0 2356.0 0.8119999999980791 
10 50 25 204 0 2356.0 0.7959999999984575 
10 50 25 205 0 2356.0 0.8440000000009604 
10 50 25 206 0 2356.0 0.7809999999990396 
10 50 25 207 0 2356.0 0.8280000000013388 
10 50 25 208 0 2356.0 0.8279999999977008 
10 50 25 209 0 2356.0 0.7659999999996217 
10 50 25 210 0 2356.0 0.875 
10 50 25 211 0 2356.0 1.0630000000019209 
10 50 25 212 0 2356.0 0.8280000000013388 
10 50 25 213 0 2356.0 0.8590000000003783 
10 50 25 214 0 2356.0 0.8600000000005821 
10 50 25 215 0 2356.0 0.8590000000003783 
10 50 25 216 0 2356.0 0.8129999999982829 
10 50 25 217 0 2356.0 0.8119999999980791 
10 50 25 218 0 2356.0 0.8280000000013388 
10 50 25 219 0 2356.0 0.8290000000015425 
10 50 25 220 0 2356.0 0.7969999999986612 
10 50 25 221 0 2356.0 0.75 
10 50 25 222 0 2356.0 0.75 
10 50 25 223 0 2356.0 0.8120000000017171 
10 50 25 224 0 2356.0 0.7659999999996217 
10 50 25 225 0 2356.0 0.8280000000013388 
10 50 25 226 0 2356.0 0.7659999999996217 
10 50 25 227 0 2356.0 0.8120000000017171 
10 50 25 228 0 2356.0 0.7660000000032596 
10 50 25 229 0 2356.0 0.75 
10 50 25 230 0 2356.0 0.7340000000003783 
10 50 25 231 0 2356.0 0.7659999999996217 
10 50 25 232 0 2356.0 0.875 
