P1 P2 P3 P4 P5 $x1$ $x2$ 
19 50 25 0 0 5557.0 21.031000000002678 
19 50 25 1 0 5557.0 21.04699999999866 
19 50 25 2 0 5267.0 21.93800000000192 
19 50 25 3 0 5267.0 22.29699999999866 
19 50 25 4 0 5267.0 22.95300000000134 
19 50 25 5 0 5267.0 24.06199999999808 
19 50 25 6 0 5267.0 25.57800000000134 
19 50 25 7 0 4443.0 27.140999999995984 
19 50 25 8 0 4443.0 27.98399999999674 
19 50 25 9 0 4443.0 31.75 
19 50 25 10 0 4443.0 33.0940000000046 
19 50 25 11 0 4426.0 33.75 
19 50 25 12 0 4426.0 47.89100000000326 
