P1 P2 P3 P4 P5 $x1$ $x2$ 
19 50 25 0 0 5351.0 21.656000000002678 
19 50 25 1 0 5351.0 21.375 
19 50 25 2 0 5063.0 21.140999999995984 
19 50 25 3 0 5063.0 22.10899999999674 
19 50 25 4 0 5063.0 22.625 
19 50 25 5 0 4772.0 22.922000000005937 
19 50 25 6 0 4772.0 23.860000000000582 
19 50 25 7 0 4491.0 24.515999999995984 
19 50 25 8 0 4491.0 26.031999999999243 
19 50 25 9 0 4491.0 27.875 
19 50 25 10 0 4491.0 28.764999999999418 
19 50 25 11 0 4491.0 28.796000000002095 
19 50 25 12 0 4491.0 36.01600000000326 
19 50 25 13 0 4420.0 36.29699999999866 
