P1 P2 P3 P4 P5 $x1$ $x2$ 
19 50 25 0 0 5904.0 22.718999999997322 
19 50 25 0 1 5904.0 23.265999999995984 
19 50 25 0 2 5904.0 23.60899999999674 
19 50 25 0 3 5904.0 23.82800000000134 
19 50 25 0 4 5904.0 23.98399999999674 
19 50 25 0 5 5555.0 24.25 
19 50 25 0 6 5555.0 24.968999999997322 
19 50 25 0 7 5241.0 25.218999999997322 
19 50 25 0 8 5241.0 25.906999999999243 
19 50 25 0 9 5241.0 27.9690000000046 
19 50 25 0 10 5241.0 26.89100000000326 
19 50 25 0 11 5241.0 27.203999999997905 
19 50 25 0 12 5241.0 28.07800000000134 
19 50 25 0 13 5241.0 28.375 
