P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1456.0 0.03200000000651926 
6 50 25 0 10 1753.0 0.09300000000803266 
7 50 25 0 10 1785.0 0.14100000000325963 
8 50 25 0 10 2190.0 0.13999999999941792 
9 50 25 0 10 2417.0 0.375 
10 50 25 0 10 3160.0 0.5320000000065193 
11 50 25 0 10 3009.0 0.6879999999946449 
12 50 25 0 10 3018.0 1.2810000000026776 
13 50 25 0 10 3847.0 1.625 
14 50 25 0 10 3970.0 2.875 
15 50 25 0 10 4175.0 5.75 
16 50 25 0 10 4297.0 12.546999999991385 
17 50 25 0 10 4402.0 13.218999999997322 
18 50 25 0 10 5170.0 22.421999999991385 
19 50 25 0 10 5029.0 29.14100000000326 
20 50 25 0 10 4958.0 51.78199999999197 
21 50 25 0 10 4855.0 902.1410000000033 
