P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1639.0 0.03099999999994907 
6 50 25 0 10 1714.0 0.047000000000025466 
7 50 25 0 10 1980.0 0.11000000000012733 
8 50 25 0 10 2522.0 0.25 
9 50 25 0 10 2789.0 0.3429999999998472 
10 50 25 0 10 2895.0 0.5309999999999491 
11 50 25 0 10 3187.0 0.9059999999999491 
12 50 25 0 10 3683.0 1.3119999999998981 
13 50 25 0 10 3952.0 2.2029999999999745 
14 50 25 0 10 4239.0 3.0779999999999745 
15 50 25 0 10 4761.0 5.954000000000178 
16 50 25 0 10 4085.0 8.610000000000127 
17 50 25 0 10 4517.0 13.077999999999975 
18 50 25 0 10 4405.0 25.422000000000025 
19 50 25 0 10 5354.0 37.702999999999975 
20 50 25 0 10 5661.0 58.40599999999995 
21 50 25 0 10 4787.0 702.5000000000005 
