P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1495.0 0.04700000000593718 
6 50 25 0 10 1616.0 0.046999999991385266 
7 50 25 0 10 1849.0 0.15600000000267755 
8 50 25 0 10 2192.0 0.21899999999732245 
9 50 25 0 10 2735.0 0.40700000000651926 
10 50 25 0 10 2854.0 0.5620000000053551 
11 50 25 0 10 3133.0 0.75 
12 50 25 0 10 2865.0 1.2340000000112923 
13 50 25 0 10 4010.0 1.7969999999913853 
14 50 25 0 10 4024.0 2.937999999994645 
15 50 25 0 10 4077.0 6.2189999999973224 
16 50 25 0 10 4319.0 9.75 
17 50 25 0 10 4366.0 11.875 
18 50 25 0 10 4562.0 21.889999999999418 
19 50 25 0 10 5440.0 32.28200000000652 
20 50 25 0 10 5370.0 53.71799999999348 
21 50 25 0 10 5864.0 65.18700000000536 
22 50 25 0 10 5545.0 118.40700000000652 
