P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1497.0 0.03099999999994907 
6 50 25 0 10 1759.0 0.0929999999998472 
7 50 25 0 10 1963.0 0.2039999999997235 
8 50 25 0 10 2416.0 0.14099999999962165 
9 50 25 0 10 2910.0 0.21900000000005093 
10 50 25 0 10 2736.0 0.5779999999995198 
11 50 25 0 10 3013.0 0.875 
12 50 25 0 10 3592.0 1.0929999999998472 
13 50 25 0 10 3804.0 1.8130000000001019 
14 50 25 0 10 4338.0 4.234000000000378 
15 50 25 0 10 4505.0 5.32799999999952 
16 50 25 0 10 4475.0 16.14100000000053 
17 50 25 0 10 4823.0 15.04700000000048 
18 50 25 0 10 4801.0 22.40599999999995 
19 50 25 0 10 4395.0 36.65599999999995 
20 50 25 0 10 5442.0 35.59400000000005 
21 50 25 0 10 5792.0 60.95399999999972 
22 50 25 0 10 5950.0 77.46900000000005 
23 50 25 0 10 6071.0 111.45299999999952 
