P1 P2 P3 P4 P5 $x1$ $x2$ 
15 0 0 0 10 4393.0 3.047000000005937 
15 1 1 0 10 4393.0 3.327999999994063 
15 2 2 0 10 4393.0 3.047000000005937 
15 3 3 0 10 4393.0 3.1719999999913853 
15 4 4 0 10 4393.0 3.375 
15 5 5 0 10 4393.0 3.4060000000026776 
15 6 6 0 10 4393.0 3.875 
15 7 7 0 10 4393.0 3.6410000000032596 
15 8 8 0 10 4393.0 3.2810000000026776 
15 9 9 0 10 4393.0 3.3429999999934807 
15 10 10 0 10 4393.0 3.437000000005355 
15 11 11 0 10 4393.0 3.889999999999418 
15 12 12 0 10 4393.0 4.014999999999418 
15 13 13 0 10 4393.0 3.7339999999967404 
15 14 14 0 10 4393.0 3.9060000000026776 
15 15 15 0 10 4393.0 3.7969999999913853 
15 16 16 0 10 4393.0 4.375 
15 17 17 0 10 4393.0 4.2810000000026776 
15 18 18 0 10 4393.0 4.327999999994063 
15 19 19 0 10 4393.0 4.4060000000026776 
15 20 20 0 10 4393.0 4.48399999999674 
15 21 21 0 10 4393.0 4.719000000011874 
15 22 22 0 10 4393.0 4.718000000008033 
15 23 23 0 10 4094.0 4.797000000005937 
15 24 24 0 10 4094.0 4.812000000005355 
15 25 25 0 10 4094.0 5.312000000005355 
15 26 26 0 10 4094.0 5.469000000011874 
15 27 27 0 10 4094.0 5.76600000000326 
15 28 28 0 10 4094.0 5.5939999999973224 
15 29 29 0 10 4094.0 5.875 
15 30 30 0 10 4094.0 6.046999999991385 
15 31 31 0 10 4094.0 6.23399999999674 
15 32 32 0 10 4094.0 6.875 
15 33 33 0 10 4094.0 6.061999999990803 
15 34 34 0 10 4094.0 6.0789999999979045 
15 35 35 0 10 4094.0 6.2960000000020955 
15 36 36 0 10 4094.0 6.703000000008615 
15 37 37 0 10 4094.0 6.875 
15 38 38 0 10 4094.0 7.0460000000020955 
15 39 39 0 10 4094.0 7.421999999991385 
15 40 40 0 10 4094.0 8.343000000008033 
15 41 41 0 10 4094.0 8.827999999994063 
15 42 42 0 10 4091.0 8.968999999997322 
15 43 43 0 10 4091.0 10.73399999999674 
15 44 44 0 10 4091.0000000000005 10.452999999994063 
15 45 45 0 10 4091.0 16.96799999999348 
15 46 46 0 10 4091.0 75.07800000000861 
15 47 47 0 10 4091.0 57.53100000000268 
