P1 P2 P3 P4 P5 $x1$ $x2$ 
19 0 0 0 10 5410.0 10.06300000000192 
19 1 1 0 10 5410.0 11.046999999998661 
19 2 2 0 10 5410.0 11.140999999995984 
19 3 3 0 10 5410.0 11.687000000005355 
19 4 4 0 10 5410.0 11.875 
19 5 5 0 10 5410.0 12.25 
19 6 6 0 10 5410.0 12.655999999995402 
19 7 7 0 10 5410.0 13.093999999997322 
19 8 8 0 10 5410.0 13.234000000004016 
19 9 9 0 10 5410.0 13.672000000005937 
19 10 10 0 10 5410.0 13.922000000005937 
19 11 11 0 10 5410.0 14.328000000001339 
19 12 12 0 10 5410.0 14.593999999997322 
19 13 13 0 10 5410.0 14.906999999999243 
19 14 14 0 10 5410.0 15.437999999994645 
19 15 15 0 10 5410.0 16.32800000000134 
19 16 16 0 10 5410.0 16.57800000000134 
19 17 17 0 10 5410.0 16.31300000000192 
19 18 18 0 10 5410.0 16.56300000000192 
19 19 19 0 10 5410.0 16.906000000002678 
19 20 20 0 10 5410.0 17.17199999999866 
19 21 21 0 10 5410.0 17.687999999994645 
19 22 22 0 10 5410.0 18.06300000000192 
19 23 23 0 10 5121.0 18.437000000005355 
