P1 P2 P3 P4 P5 $x1$ $x2$ 
19 0 0 0 10 5808.0 10.75 
19 1 1 0 10 5808.0 12.656999999999243 
19 2 2 0 10 5808.0 13.375 
19 3 3 0 10 5484.0 14.077999999994063 
19 4 4 0 10 5484.0 14.265999999995984 
19 5 5 0 10 5215.0 14.671999999998661 
19 6 6 0 10 5215.0 15.968999999997322 
19 7 7 0 10 5215.0 15.828000000001339 
19 8 8 0 10 5215.0 15.68699999999808 
19 9 9 0 10 5215.0 16.0 
19 10 10 0 10 5215.0 16.437000000005355 
19 11 11 0 10 4965.0 17.56199999999808 
19 12 12 0 10 4965.0 17.14100000000326 
19 13 13 0 10 4965.0 17.29699999999866 
19 14 14 0 10 4965.0 17.93699999999808 
19 15 15 0 10 4965.0 18.68800000000192 
19 16 16 0 10 4965.0 19.18800000000192 
19 17 17 0 10 4965.0 19.125 
19 18 18 0 10 4634.0 19.73399999999674 
19 19 19 0 10 4634.0 20.031000000002678 
19 20 20 0 10 4634.0 20.843000000000757 
