P1 P2 $x1$ $x2$ 
0 0 2734.0 0.4220000000004802 
1 1 2734.0 0.4530000000013388 
2 2 2734.0 0.5930000000007567 
3 3 2734.0 0.625 
4 4 2734.0 0.6409999999996217 
5 5 2734.0 0.4539999999997235 
6 6 2734.0 0.43699999999989814 
7 7 2734.0 0.6090000000003783 
8 8 2734.0 0.7030000000013388 
9 9 2734.0 0.6099999999987631 
10 10 2734.0 0.6869999999998981 
11 11 2734.0 0.5630000000001019 
12 12 2734.0 0.6560000000008586 
13 13 2530.0 0.6099999999987631 
14 14 2522.0 0.5779999999995198 
15 15 2522.0 0.6560000000008586 
16 16 2499.0 0.5 
17 17 2499.0 0.48400000000037835 
18 18 2499.0 0.5319999999992433 
19 19 2499.0 0.6720000000004802 
20 20 2499.0 0.6720000000004802 
21 21 2499.0 1.0 
22 22 2309.0 0.8130000000001019 
23 23 2309.0 0.6559999999990396 
24 24 2309.0 0.7180000000007567 
25 25 2309.0 0.7189999999991414 
26 26 2120.999999999997 0.8280000000013388 
27 27 2121.0 0.6720000000004802 
28 28 2115.0 0.6880000000001019 
29 29 2114.0 0.75 
30 30 2114.0 0.625 
31 31 2114.0 0.6560000000008586 
32 32 2114.0 0.6869999999998981 
33 33 2114.0 0.6720000000004802 
34 34 2114.0 0.7029999999995198 
35 35 2114.0 0.7810000000008586 
36 36 1787.0 0.8439999999991414 
37 37 1787.0 0.9059999999990396 
38 38 1787.0 0.9060000000008586 
39 39 1787.0 0.9690000000009604 
40 40 1787.0 0.9539999999997235 
41 41 1787.0 1.015000000001237 
42 42 1787.0 0.9539999999997235 
43 43 1787.0 0.9369999999998981 
44 44 1787.0 0.9220000000004802 
45 45 1787.0 0.9840000000003783 
46 46 1787.0 1.0319999999992433 
47 47 1787.0 0.9529999999995198 
48 48 1787.0 1.110000000000582 
49 49 1787.0 1.0470000000004802 
50 50 1787.0 1.1410000000014406 
51 51 1787.0 1.1090000000003783 
52 52 1787.0 1.1880000000001019 
53 53 1787.0 1.125 
54 54 1787.0 1.1569999999992433 
55 55 1787.0 1.110000000000582 
56 56 1787.0 1.264999999999418 
57 57 1787.0 1.2029999999995198 
58 58 1787.0 1.2960000000002765 
59 59 1787.0 1.2810000000008586 
60 60 1787.0 1.4059999999990396 
61 61 1787.0 1.375 
62 62 1787.0 1.5470000000004802 
63 63 1787.0 1.4680000000007567 
64 64 1787.0 1.4369999999998981 
65 65 1787.0 1.4689999999991414 
66 66 1787.0 1.640000000001237 
67 67 1787.0 1.6409999999996217 
68 68 1787.0 1.5469999999986612 
69 69 1787.0 1.639999999999418 
70 70 1771.0 2.82799999999952 
71 71 1771.0 2.9060000000008586 
72 72 1771.0 2.9690000000009604 
73 73 1771.0 4.859000000000378 
74 74 1771.0 4.264999999999418 
75 75 1771.0 3.8910000000014406 
76 76 1771.0 4.90599999999904 
77 77 1771.0 4.563000000000102 
78 78 1492.0 9.656999999999243 
79 79 1492.0 10.063000000000102 
80 80 1492.0 12.28099999999904 
81 81 1492.0 9.311999999999898 
82 82 1492.0 10.09400000000096 
83 83 1492.0 13.313000000000102 
84 84 1489.0000000034147 13.436999999999898 
85 85 1489.0 14.578000000001339 
86 86 1489.0 15.25 
87 87 1489.0 14.531999999999243 
88 88 1489.0 17.875 
89 89 1489.0 37.70300000000134 
90 90 1489.0 46.625 
91 91 1489.0 18.0 
92 92 1489.0 58.59300000000076 
93 93 1489.0000000000002 23.20300000000134 
94 94 1489.0 16.188000000000102 
95 95 1489.0 52.14000000000124 
96 96 1485.0000000000018 89.76500000000124 
97 97 1485.0 87.84300000000076 
98 98 1296.0 149.45399999999972 
99 99 1296.0 104.15600000000086 
100 100 1296.0 203.51599999999962 
