P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1402.0 0.062000000005355105 
6 50 25 0 10 1692.0 0.125 
7 50 25 0 10 2064.0 0.13999999999941792 
8 50 25 0 10 2160.0 0.35899999999674037 
9 50 25 0 10 2616.0 0.6410000000032596 
10 50 25 0 10 2129.0 1.1570000000065193 
11 50 25 0 10 3167.0 1.0310000000026776 
12 50 25 0 10 2764.0 1.937000000005355 
13 50 25 0 10 3782.0 2.7030000000086147 
14 50 25 0 10 3260.0 5.687999999994645 
15 50 25 0 10 4433.0 7.48399999999674 
16 50 25 0 10 3482.0 11.84299999999348 
17 50 25 0 10 4768.0 12.687999999994645 
18 50 25 0 10 5547.0 18.031000000002678 
19 50 25 0 10 4531.0 37.90600000000268 
20 50 25 0 10 5362.0 183.64100000000326 
21 50 25 0 10 5762.0 60.40700000000652 
22 50 25 0 10 5574.0 87.92199999999139 
23 50 25 0 10 5657.0 114.86000000000058 
24 50 25 0 10 5798.000000000002 2268.9379999999946 
